ID;Vorname;Name;Strasse;Hausnr.;PLZ;Ort;Telefon 1
1;Adrian;B�hler;Sagiweg;1;3629;Kiesen;1234
2;Adrian;B�hler;Sagiweg;1;3629;Kiesen;1234
3;Adrian;B�hler;Sagiweg;1;3629;Kiesen;1234
4;Valentin;Erler;Sagibach;3;3333;Erlichen;3333
5;Noah;Haldimann;Fortnite;23;4444;Fortnitzien;6969
6;Noah;Haldimann;Fortnite;23;4444;Fortnitzien;6969
7;Noah;Haldimann;Fortnite;23;4444;Fortnitzien;6969
8;Valentin;Erler;Sagibach;3;3333;Erlichen;3333
9;ffff;ffff;ffff;33;1324;Fff;3333
10;ffff;Hallo;hallo;hallo;hallo;hallo;hallo
11;Valentin;Erler;Sagibach;3;3333;Erlichen;3333
12;hallo;ffff;ffff;FF;FF;FFF;FF
